typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20220101,2022,52,2022,32,ARG,Argentina,M,Import,76,BRA,Brazil,600,PRY,Paraguay,H5,HS,True,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,False,0.0,False,119622.68,117000.0,119622.68,0,False,True
C,A,20220101,2022,52,2022,32,ARG,Argentina,M,Import,764,THA,Thailand,410,KOR,Rep. of Korea,H5,HS,True,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,False,0.0,False,1715.81,1700.0,1715.81,0,False,True
C,A,20220101,2022,52,2022,32,ARG,Argentina,M,Import,484,MEX,Mexico,152,CHL,Chile,H5,HS,True,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,False,0.0,False,66924.89,64902.91,66924.89,0,False,True
C,A,20220101,2022,52,2022,32,ARG,Argentina,M,Import,380,ITA,Italy,528,NLD,Netherlands,H5,HS,True,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,False,0.0,False,158674.83,150679.09,158674.83,0,False,True
C,A,20220101,2022,52,2022,32,ARG,Argentina,M,Import,860,UZB,Uzbekistan,0,W00,World,H5,HS,True,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,False,0.0,False,20117.91,19277.25,20117.91,0,False,True
C,A,20220101,2022,52,2022,32,ARG,Argentina,M,Import,842,USA,USA,124,CAN,Canada,H5,HS,True,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,False,0.0,False,102500.3,93651.0,102500.3,0,False,True
C,A,20220101,2022,52,2022,32,ARG,Argentina,M,Import,704,VNM,Viet Nam,251,FRA,France,H5,HS,True,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,False,0.0,False,29316.51,29073.11,29316.51,0,False,True
C,A,20220101,2022,52,2022,32,ARG,Argentina,M,Import,203,CZE,Czechia,528,NLD,Netherlands,H5,HS,True,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,False,0.0,False,174932.12,170382.62,174932.12,0,False,True
C,A,20220101,2022,52,2022,32,ARG,Argentina,M,Import,710,ZAF,South Africa,380,ITA,Italy,H5,HS,True,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,False,0.0,False,128.19,121.2,128.19,0,False,True
C,A,20220101,2022,52,2022,32,ARG,Argentina,M,Import,188,CRI,Costa Rica,0,W00,World,H5,HS,True,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.0,False,0.0,False,89978.07,88618.67,89978.07,0,False,True
