indice_tiempo,nivel_general
6/1/1969,4.10E-10
7/1/1969,4.15E-10
8/1/1969,4.12E-10
9/1/1969,4.20E-10
10/1/1969,4.26E-10
11/1/1969,4.29E-10
12/1/1969,4.61E-10
1/1/1970,4.39E-10
2/1/1970,4.45E-10
3/1/1970,4.51E-10
4/1/1970,4.54E-10
5/1/1970,4.58E-10
6/1/1970,4.61E-10
7/1/1970,4.67E-10
8/1/1970,4.72E-10
9/1/1970,4.82E-10
10/1/1970,5.01E-10
11/1/1970,5.14E-10
12/1/1970,5.61E-10
1/1/1971,5.60E-10
2/1/1971,5.78E-10
3/1/1971,5.84E-10
4/1/1971,5.90E-10
5/1/1971,6.04E-10
6/1/1971,6.23E-10
7/1/1971,6.50E-10
8/1/1971,6.67E-10
9/1/1971,6.73E-10
10/1/1971,6.79E-10
11/1/1971,6.98E-10
12/1/1971,7.81E-10
1/1/1972,8.21E-10
2/1/1972,8.51E-10
3/1/1972,8.87E-10
4/1/1972,9.30E-10
5/1/1972,9.45E-10
6/1/1972,9.97E-10
7/1/1972,1.05E-09
8/1/1972,1.05E-09
9/1/1972,1.07E-09
10/1/1972,1.12E-09
11/1/1972,1.18E-09
12/1/1972,1.28E-09
1/1/1973,1.34E-09
2/1/1973,1.44E-09
3/1/1973,1.57E-09
4/1/1973,1.64E-09
5/1/1973,1.69E-09
6/1/1973,1.64E-09
7/1/1973,1.64E-09
8/1/1973,1.66E-09
9/1/1973,1.66E-09
10/1/1973,1.69E-09
11/1/1973,1.70E-09
12/1/1973,1.84E-09
1/1/1974,1.74E-09
2/1/1974,1.76E-09
3/1/1974,1.79E-09
4/1/1974,1.84E-09
5/1/1974,1.90E-09
6/1/1974,1.97E-09
7/1/1974,2.01E-09
8/1/1974,2.05E-09
9/1/1974,2.12E-09
10/1/1974,2.20E-09
11/1/1974,2.29E-09
12/1/1974,2.58E-09
1/1/1975,2.66E-09
2/1/1975,2.78E-09
3/1/1975,3.00E-09
4/1/1975,3.30E-09
5/1/1975,3.42E-09
6/1/1975,4.15E-09
7/1/1975,5.59E-09
8/1/1975,6.84E-09
9/1/1975,7.58E-09
10/1/1975,8.63E-09
11/1/1975,9.40E-09
12/1/1975,1.12E-08
1/1/1976,1.22E-08
2/1/1976,1.45E-08
3/1/1976,2.00E-08
4/1/1976,2.68E-08
5/1/1976,3.00E-08
6/1/1976,3.09E-08
7/1/1976,3.22E-08
8/1/1976,3.39E-08
9/1/1976,3.75E-08
10/1/1976,4.07E-08
11/1/1976,4.39E-08
12/1/1976,5.02E-08
1/1/1977,5.43E-08
2/1/1977,5.88E-08
3/1/1977,6.32E-08
4/1/1977,6.70E-08
5/1/1977,7.13E-08
6/1/1977,7.68E-08
7/1/1977,8.25E-08
8/1/1977,9.18E-08
9/1/1977,9.94E-08
10/1/1977,1.12E-07
11/1/1977,1.22E-07
12/1/1977,1.31E-07
1/1/1978,1.48E-07
2/1/1978,1.58E-07
3/1/1978,1.72E-07
4/1/1978,1.92E-07
5/1/1978,2.08E-07
6/1/1978,2.22E-07
7/1/1978,2.36E-07
8/1/1978,2.55E-07
9/1/1978,2.71E-07
10/1/1978,2.98E-07
11/1/1978,3.24E-07
12/1/1978,3.53E-07
1/1/1979,3.98E-07
2/1/1979,4.28E-07
3/1/1979,4.61E-07
4/1/1979,4.93E-07
5/1/1979,5.27E-07
6/1/1979,5.79E-07
7/1/1979,6.20E-07
8/1/1979,6.91E-07
9/1/1979,7.38E-07
10/1/1979,7.70E-07
11/1/1979,8.10E-07
12/1/1979,8.47E-07
1/1/1980,9.08E-07
2/1/1980,9.56E-07
3/1/1980,1.01E-06
4/1/1980,1.07E-06
5/1/1980,1.14E-06
6/1/1980,1.20E-06
7/1/1980,1.26E-06
8/1/1980,1.30E-06
9/1/1980,1.36E-06
10/1/1980,1.46E-06
11/1/1980,1.53E-06
12/1/1980,1.59E-06
1/1/1981,1.67E-06
2/1/1981,1.74E-06
3/1/1981,1.84E-06
4/1/1981,1.98E-06
5/1/1981,2.13E-06
6/1/1981,2.33E-06
7/1/1981,2.57E-06
8/1/1981,2.78E-06
9/1/1981,2.98E-06
10/1/1981,3.15E-06
11/1/1981,3.38E-06
12/1/1981,3.67E-06
1/1/1982,4.11E-06
2/1/1982,4.33E-06
3/1/1982,4.53E-06
4/1/1982,4.72E-06
5/1/1982,4.87E-06
6/1/1982,5.25E-06
7/1/1982,6.11E-06
8/1/1982,7.00E-06
9/1/1982,8.20E-06
10/1/1982,9.24E-06
11/1/1982,1.03E-05
12/1/1982,1.14E-05
1/1/1983,1.32E-05
2/1/1983,1.49E-05
3/1/1983,1.66E-05
4/1/1983,1.83E-05
5/1/1983,2.00E-05
6/1/1983,2.31E-05
7/1/1983,2.60E-05
8/1/1983,3.05E-05
9/1/1983,3.70E-05
10/1/1983,4.33E-05
11/1/1983,5.16E-05
12/1/1983,6.07E-05
1/1/1984,6.83E-05
2/1/1984,7.99E-05
3/1/1984,9.61E-05
4/1/1984,0.000113919
5/1/1984,0.000133369
6/1/1984,0.000157252
7/1/1984,0.000186005
8/1/1984,0.000228494
9/1/1984,0.000291433
10/1/1984,0.000347752
11/1/1984,0.000399826
12/1/1984,0.000478499
1/1/1985,0.00059879
2/1/1985,0.00072273
3/1/1985,0.0009141
4/1/1985,0.00118353
5/1/1985,0.00148042
6/1/1985,0.00193248
7/1/1985,0.00205205
8/1/1985,0.00211511
9/1/1985,0.00215726
10/1/1985,0.00219909
11/1/1985,0.00225123
12/1/1985,0.00232272
1/1/1986,0.00239296
2/1/1986,0.00243355
3/1/1986,0.00254656
4/1/1986,0.00266707
5/1/1986,0.00277446
6/1/1986,0.00290059
7/1/1986,0.00309696
8/1/1986,0.00336888
9/1/1986,0.00361239
10/1/1986,0.00383124
11/1/1986,0.00403416
12/1/1986,0.00422523
