Day;Index Trading Symbol;Index Name;Index ISIN;Trading Symbol;Instrument;ISIN;Country;Transparency Level;Instrument Exchange;Index Value (close);Index Settlement Value (Future);Index Settlement Value (Kassa);Index Settlement Value (Option);Constant A (last regular rebalancing) (Index);Kt (last regular rebalancing) (Index);Market Cap. (in Mio.) (last regular rebalancing) (Index);# Constituents;Performance (1d) (Index);Performance (1m) (Index);Performance (12m) (Index);Performance (ytd) (Index);Volatility (1m) (Index);Volatility (12m) (Index);Sharpe Ratio (1m) (Index);Sharpe Ratio (12m) (Index);pit;pi0 (last regular rebalancing);qi0 (last regular rebalancing);qit (last regular rebalancing);ffit (last regular rebalancing);ci (last regular rebalancing);Market Cap. (in Mio.) (last regular rebalancing);Weight (last regular rebalancing);Fi (last regular rebalancing);Fi (norm 1m EUR) (last regular rebalancing);Fi (norm Index) (last regular rebalancing);Quintil;Performance (1d);Performance (1m);Performance (12m);Performance (ytd);Volatility (1m);Volatility (12m);Sharpe Ratio (1m);Sharpe Ratio (12m);Beta (1m);Beta (12m);Correlation (1m);Correlation (12m)
2/02/2023;MKDX;MDAX KURSINDEX;DE0008467531;BFSA;BEFESA S.A. ORD. O.N.;LU1704650164;n/a;Prime Standard;XETRA;15274.12;;;;2254.3750923;10.7359718;138329.19;50;0.0332422133695378;0.170099795536741;-0.142969843705726;0.186775413414015;0.18848644173984;0.262545166036576;2.94731975635581;-0.519959441247349;52.75;28;34066705;39999998;0.8948;1;1530.47;1.1064;7.46113950867406;258.745089247218;3.95210354257272;4;0.00667938931297707;0.160360756709195;-0.173047721363309;0.170661340434975;0.349299837539896;0.382086847323961;1.49848667857631;-0.434772149063201;0.729867271170229;0.912204111189058;0.393845258715674;0.626807181426786
2/02/2023;MKDX;MDAX KURSINDEX;DE0008467531;AFX;CARL ZEISS MEDITEC AG;DE0005313704;n/a;Prime Standard;XETRA;15274.12;;;;2254.3750923;10.7359718;138329.19;50;0.0332422133695378;0.170099795536741;-0.142969843705726;0.186775413414015;0.18848644173984;0.262545166036576;2.94731975635581;-0.519959441247349;140;34.5;6000000;89440570;0.4086;1;4273.99;3.0897;7.61819589690434;264.191652622993;4.03529500516191;1;0.0594021944759742;0.18946474086661;-0.0303151137011892;0.187446988973706;0.307655456406406;0.404803272059224;2.01320709495665;-0.0632861640452806;1.20332906558486;1.00669830628156;0.737224739855109;0.652919065171896
2/02/2023;MKDX;MDAX KURSINDEX;DE0008467531;CBK;COMMERZBANK AG;DE000CBK1001;n/a;Prime Standard;XETRA;15274.12;;;;2254.3750923;10.7359718;138329.19;50;0.0332422133695378;0.170099795536741;-0.142969843705726;0.186775413414015;0.18848644173984;0.262545166036576;2.94731975635581;-0.519959441247349;10.07;109.42;20799181;1252357634;0.844;1;8608.13;6.2229;220.338317861763;7641.11938309748;116.711374391757;1;-0.044138585666825;0.130952380952381;0.243824110671937;0.139655952919873;0.317804139901881;0.52079106524265;1.34191017735774;0.468973270626725;0.253870916218194;1.17438637801062;0.150568289242468;0.592040622782637
2/02/2023;MKDX;MDAX KURSINDEX;DE0008467531;EVD;CTS EVENTIM KGAA;DE0005470306;n/a;Prime Standard;XETRA;15274.12;;;;2254.3750923;10.7359718;138329.19;50;0.0332422133695378;0.170099795536741;-0.142969843705726;0.186775413414015;0.18848644173984;0.262545166036576;2.94731975635581;-0.519959441247349;65;25.5;12000000;96000000;0.6112;1;3564.52;2.5768;12.2313331132249;424.170781730398;6.47883542064391;2;0.0196078431372548;0.0961214165261384;0.0216912920465262;0.0906040268456376;0.218110489440811;0.379408783042947;1.42877273568397;0.0674083219089009;0.664989755864312;1.00437725725166;0.574669990414757;0.695013941568792
2/02/2023;MKDX;MDAX KURSINDEX;DE0008467531;DHER;DELIVERY HERO SE NA O.N.;DE000A2E4K43;n/a;Prime Standard;XETRA;15274.12;;;;2254.3750923;10.7359718;138329.19;50;0.0332422133695378;0.170099795536741;-0.142969843705726;0.186775413414015;0.18848644173984;0.262545166036576;2.94731975635581;-0.519959441247349;57.68;26.9;171998900;261575944;0.7381;1;7798.07;5.6373;40.246880305267;1395.72281477941;21.3184377596785;1;0.0725176645593157;0.304092245082523;-0.165026056745802;0.288075033497097;0.37751581938726;0.875152863757309;2.64171668151157;-0.180796301875651;1.33953156806076;1.96168524968379;0.668802539908822;0.588504021318679
2/02/2023;MKDX;MDAX KURSINDEX;DE0008467531;DUE;DUERR AG O.N.;DE0005565204;n/a;Prime Standard;XETRA;15274.12;;;;2254.3750923;10.7359718;138329.19;50;0.0332422133695378;0.170099795536741;-0.142969843705726;0.186775413414015;0.18848644173984;0.262545166036576;2.94731975635581;-0.519959441247349;34.86;322.11;1000000;69202080;0.7029;1;1549.74;1.1203;10.1398587910087;351.640478613699;5.37099886720307;4;0.00345423143350598;0.0846297448662103;-0.0773949481996784;0.105964467005076;0.245128772853261;0.389337346929521;1.1167330460526;-0.184833573443778;0.908961243542997;1.14152208650033;0.69892599094191;0.769772301830838
2/02/2023;MKDX;MDAX KURSINDEX;DE0008467531;ECV;ENCAVIS AG  INH. O.N.;DE0006095003;n/a;Prime Standard;XETRA;15274.12;;;;2254.3750923;10.7359718;138329.19;50;0.0332422133695378;0.170099795536741;-0.142969843705726;0.186775413414015;0.18848644173984;0.262545166036576;2.94731975635581;-0.519959441247349;18.595;104.81;1200000;161030176;0.7493;1;2276.85;1.646;25.1525612753969;872.266455336027;13.3231025107771;4;0.0336297945350097;0.00785907879050529;0.351368211897311;0.00595077089413421;0.391476469370154;0.433728019110943;0.0527183933103812;0.807189517428444;1.16202083628528;0.524679014512345;0.559484898316761;0.317599815809491
2/02/2023;MKDX;MDAX KURSINDEX;DE0008467531;EVK;EVONIK INDUSTRIES NA O.N.;DE000EVNK013;n/a;Prime Standard;XETRA;15274.12;;;;2254.3750923;10.7359718;138329.19;50;0.0332422133695378;0.170099795536741;-0.142969843705726;0.186775413414015;0.18848644173984;0.262545166036576;2.94731975635581;-0.519959441247349;21.26;33;466000000;466000000;0.44;1;3635.36;2.628;42.7422921700418;1482.26128050694;22.6402366698167;1;0.0340466926070038;0.152615885063703;-0.238569898426115;0.185391692221913;0.235665895280892;0.326055552512366;2.11268188436429;-0.707299869676823;0.846289181358737;0.935837016812107;0.676865170868719;0.753550991752519
2/02/2023;MKDX;MDAX KURSINDEX;DE0008467531;EVT;EVOTEC SE  INH O.N.;DE0005664809;n/a;Prime Standard;XETRA;15274.12;;;;2254.3750923;10.7359718;138329.19;50;0.0332422133695378;0.170099795536741;-0.142969843705726;0.186775413414015;0.18848644173984;0.262545166036576;2.94731975635581;-0.519959441247349;19.37;24;11433000;176952653;0.8338;1;2269.95;1.641;30.7565900861096;1066.60874488658;16.2915099624471;3;0.0836363636363635;0.267670157068063;-0.474925454052589;0.269331585845347;0.470501079665428;0.531242915933083;1.86441606052939;-0.872070589113377;1.34260508187472;1.11929273982094;0.537858180313517;0.553164831767543
2/02/2023;MKDX;MDAX KURSINDEX;DE0008467531;FRA;FRAPORT AG FFM.AIRPORT;DE0005773303;n/a;Prime Standard;XETRA;15274.12;;;;2254.3750923;10.7359718;138329.19;50;0.0332422133695378;0.170099795536741;-0.142969843705726;0.186775413414015;0.18848644173984;0.262545166036576;2.94731975635581;-0.519959441247349;53.38;35.19;86700000;92468704;0.3945;1;1392.76;1.0068;7.60433067296626;263.710820090493;4.0279507113606;4;0.0129032258064516;0.331836327345309;-0.125204850868568;0.402890932982917;0.312895969545593;0.405769158263169;3.47962094133981;-0.293332890546663;0.820532367155106;1.02170595555357;0.494283216373926;0.6610752795741
2/02/2023;MKDX;MDAX KURSINDEX;DE0008467531;FNTN;FREENET AG NA O.N.;DE000A0Z2ZZ5;n/a;Prime Standard;XETRA;15274.12;;;;2254.3750923;10.7359718;138329.19;50;0.0332422133695378;0.170099795536741;-0.142969843705726;0.186775413414015;0.18848644173984;0.262545166036576;2.94731975635581;-0.519959441247349;22.39;21.16;96061016;118900598;0.9996;1;2305.75;1.6669;24.7759035567164;859.204330586535;13.1235900498984;3;0.000894054537326827;0.0853126514784295;-0.0258592866990907;0.0964740450538688;0.200216297023572;0.295080128007155;1.37848357857359;-0.0719541705610809;0.464311836083258;0.639102249455956;0.437109701568006;0.568636076346337
2/02/2023;MKDX;MDAX KURSINDEX;DE0008467531;FPE3;FUCHS PETROLUB VZO NA ON;DE000A3E5D64;n/a;Prime Standard;XETRA;15274.12;;;;2254.3750923;10.7359718;138329.19;50;0.0332422133695378;0.170099795536741;-0.142969843705726;0.186775413414015;0.18848644173984;0.262545166036576;2.94731975635581;-0.519959441247349;36.72;66.47;280000;69500000;0.9943;1;2292.87;1.6575;14.4052718824363;499.560871971126;7.63035270579161;3;0.00327868852459012;0.112727272727273;-0.0137978327081517;0.121563836285889;0.196027997663716;0.301020055722212;1.86900958873981;-0.0310918276183641;0.517784832270252;0.729861126345104;0.497864701902958;0.636573899171525
2/02/2023;MKDX;MDAX KURSINDEX;DE0008467531;G1A;GEA GROUP AG;DE0006602006;n/a;Prime Standard;XETRA;15274.12;;;;2254.3750923;10.7359718;138329.19;50;0.0332422133695378;0.170099795536741;-0.142969843705726;0.186775413414015;0.18848644173984;0.262545166036576;2.94731975635581;-0.519959441247349;42.51;107.88;5600000;180492172;0.822;1;5720.94;4.1357;30.9278267719674;1072.54706724514;16.3822126107503;1;0.025078369905956;0.122524425666755;0.0171255523674085;0.11282722513089;0.183214663740499;0.27793679057451;2.17601831573624;0.075847870774044;0.759841285362404;0.826652040037206;0.781704789567711;0.780873581570195
2/02/2023;MKDX;MDAX KURSINDEX;DE0008467531;GXI;GERRESHEIMER AG;DE000A0LD6E6;n/a;Prime Standard;XETRA;15274.12;;;;2254.3750923;10.7359718;138329.19;50;0.0332422133695378;0.170099795536741;-0.142969843705726;0.186775413414015;0.18848644173984;0.262545166036576;2.94731975635581;-0.519959441247349;71.9;40;31400000;31400000;0.8724;1;1740.85;1.2585;5.71037356925056;198.030222741844;3.02473738578565;4;0.0323043790380473;0.115593483320403;-0.0843608654658503;0.144904458598726;0.307403031286061;0.410822710349605;1.22258984308442;-0.191858140348581;1.21235215552986;0.898224006974121;0.743362688960609;0.574029539039788
2/02/2023;MKDX;MDAX KURSINDEX;DE0008467531;HLE;HELLA GMBH+CO. KGAA O.N.;DE000A13SX22;n/a;Prime Standard;XETRA;15274.12;;;;2254.3750923;10.7359718;138329.19;50;0.0332422133695378;0.170099795536741;-0.142969843705726;0.186775413414015;0.18848644173984;0.262545166036576;2.94731975635581;-0.519959441247349;79.1;27.5;111111112;111111112;0.1841;1;1576.1;1.1394;4.26413060403148;147.875917937098;2.25867451568138;5;0.0279402209226771;0.0299479166666667;0.280096745972858;0.0401051939513479;0.289023656774606;0.277810699354513;0.323374056659425;1.00767511955385;1.20769516700647;0.599674157918539;0.787596999068388;0.566722418266752
2/02/2023;MKDX;MDAX KURSINDEX;DE0008467531;HFG;HELLOFRESH SE  INH O.N.;DE000A161408;n/a;Prime Standard;XETRA;15274.12;;;;2254.3750923;10.7359718;138329.19;50;0.0332422133695378;0.170099795536741;-0.142969843705726;0.186775413414015;0.18848644173984;0.262545166036576;2.94731975635581;-0.519959441247349;23.5;10.6;160128752;174014221;0.9859;1;3582.19;2.5896;35.7632372493002;1240.23441768938;18.9434893239178;2;0.104842501175364;0.113216485078162;-0.601694915254237;0.144666341938626;0.666045024806987;0.700704650065183;0.552501826373063;-0.839255011525845;2.93513385933316;1.68452928137651;0.830623931672116;0.631171806596873
