Day;Index Trading Symbol;Index Name;Index ISIN;Trading Symbol;Instrument;ISIN;Country;Transparency Level;Instrument Exchange;Index Value (close);Index Settlement Value (Future);Index Settlement Value (Kassa);Index Settlement Value (Option);Constant A (last regular rebalancing) (Index);Kt (last regular rebalancing) (Index);Market Cap. (in Mio.) (last regular rebalancing) (Index);# Constituents;Performance (1d) (Index);Performance (1m) (Index);Performance (12m) (Index);Performance (ytd) (Index);Volatility (1m) (Index);Volatility (12m) (Index);Sharpe Ratio (1m) (Index);Sharpe Ratio (12m) (Index);pit;pi0 (last regular rebalancing);qi0 (last regular rebalancing);qit (last regular rebalancing);ffit (last regular rebalancing);ci (last regular rebalancing);Market Cap. (in Mio.) (last regular rebalancing);Weight (last regular rebalancing);Fi (last regular rebalancing);Fi (norm 1m EUR) (last regular rebalancing);Fi (norm Index) (last regular rebalancing);Quintil;Performance (1d);Performance (1m);Performance (12m);Performance (ytd);Volatility (1m);Volatility (12m);Sharpe Ratio (1m);Sharpe Ratio (12m);Beta (1m);Beta (12m);Correlation (1m);Correlation (12m)
2/02/2023;I2SB;DAXSUBSEC.IT-SERV. PR;DE0007238172;CSH;CENIT AG O.N.;DE0005407100;n/a;Prime Standard;XETRA;1803.44;;;;2832.4401828;9.9525304;6650.69;15;0.0527163729547671;0.203962828455458;-0.238556862082797;0.213114313005341;0.283974789062511;0.340850827044129;2.34940900609659;-0.676560532832808;12.65;115.55;1000000;8367758;0.7499;1;75.61;1.1369;40.1756696815159;943.508975672083;1.70156182708606;4;0.0160642570281124;0.0368852459016393;-0.0546263081887738;0.0368852459016393;0.364838200409982;0.39565240563058;0.31886586822956;-0.12523557112194;0.469423305645709;0.3390133475951;0.365379458762727;0.292056811136086
2/02/2023;I2SB;DAXSUBSEC.IT-SERV. PR;DE0007238172;GFT;GFT TECHNOLOGIES SE;DE0005800601;n/a;Prime Standard;XETRA;1803.44;;;;2832.4401828;9.9525304;6650.69;15;0.0527163729547671;0.203962828455458;-0.238556862082797;0.213114313005341;0.283974789062511;0.340850827044129;2.34940900609659;-0.676560532832808;42.05;44;6500000;26325946;0.6414;1;571.57;8.5942;108.109435864993;2538.90535993717;4.57876348232509;2;0.0605296343001263;0.231332357247438;-0.078752204683482;0.238586156111929;0.372075756759201;0.511252797271261;2.03562736197133;-0.143370679917714;0.859507560447778;1.088660066925;0.6559913505296;0.725806658001366
2/02/2023;I2SB;DAXSUBSEC.IT-SERV. PR;DE0007238172;IVU;IVU TRAFFIC TECHN.AG O.N.;DE0007448508;n/a;Prime Standard;XETRA;1803.44;;;;2832.4401828;9.9525304;6650.69;15;0.0527163729547671;0.203962828455458;-0.238556862082797;0.213114313005341;0.283974789062511;0.340850827044129;2.34940900609659;-0.676560532832808;17.62;17.5;12800000;17719160;0.739;1;217.37;3.2684;83.837482275916;1968.88857490455;3.55077241152586;3;0.0488095238095239;0.0525686977299882;-0.106670825711375;0.0957711442786069;0.397721064263985;0.393111685595635;0.422510332218125;-0.256367415631539;0.252488596455425;0.543913195974641;0.180278095282195;0.471604557893688
2/02/2023;I2SB;DAXSUBSEC.IT-SERV. PR;DE0007238172;KSC;KPS AG NA O.N.;DE000A1A6V48;n/a;Prime Standard;XETRA;1803.44;;;;2832.4401828;9.9525304;6650.69;15;0.0527163729547671;0.203962828455458;-0.238556862082797;0.213114313005341;0.283974789062511;0.340850827044129;2.34940900609659;-0.676560532832808;4.19;42;3102000;37412100;0.3679;1;42.26;0.6354;88.1236615292179;2069.54772082267;3.73230514164044;5;0.0743589743589743;0.325949367088608;-0.0236970598259209;0.41554054054054;0.437975771913329;0.395656095423702;2.44157486204204;-0.0482838659155031;0.568269219153331;0.310513662212095;0.368454471659038;0.26750210548419
2/02/2023;I2SB;DAXSUBSEC.IT-SERV. PR;DE0007238172;NA9;NAGARRO SE  NA O.N.;DE000A3H2200;n/a;Prime Standard;XETRA;1803.44;;;;2832.4401828;9.9525304;6650.69;15;0.0527163729547671;0.203962828455458;-0.238556862082797;0.213114313005341;0.283974789062511;0.340850827044129;2.34940900609659;-0.676560532832808;134.4;82;11382513;13775985;0.5693;1;916.02;13.7734;50.2128075115195;1179.22700371589;2.12666514758138;1;0.061611374407583;0.204301075268817;-0.138461538461538;0.215189873417722;0.347384293149132;0.429946863507663;1.92377176178352;-0.307189074752522;1.00382964161891;0.992855019458623;0.820596429819149;0.787109950649414
2/02/2023;I2SB;DAXSUBSEC.IT-SERV. PR;DE0007238172;QBY;Q.BEYOND AG NA O.N.;DE0005137004;n/a;Prime Standard;XETRA;1803.44;;;;2832.4401828;9.9525304;6650.69;15;0.0527163729547671;0.203962828455458;-0.238556862082797;0.213114313005341;0.283974789062511;0.340850827044129;2.34940900609659;-0.676560532832808;1.15;20;54467669;124579487;0.7468;1;71.45;1.0743;595.664210282603;13988.9274614091;25.2281913410036;3;0.0176991150442478;0.4896373027176;-0.351747464489039;0.4896373027176;0.701192387619537;0.526266396137523;2.29468232359248;-0.649914397166562;-0.158138971684677;0.228454482754279;-0.0640444504527124;0.147964794940823
2/02/2023;I2SB;DAXSUBSEC.IT-SERV. PR;DE0007238172;YSN;SECUNET SECURITY AG O.N.;DE0007276503;n/a;Prime Standard;XETRA;1803.44;;;;2832.4401828;9.9525304;6650.69;15;0.0527163729547671;0.203962828455458;-0.238556862082797;0.213114313005341;0.283974789062511;0.340850827044129;2.34940900609659;-0.676560532832808;244.5;15.5;6370000;6500000;0.2441;1;309.71;4.6569;10.1585517061094;238.569382676723;0.430245567494509;2;0.0866666666666669;0.186893203883495;-0.231247644412643;0.244908350305499;0.524732985726028;0.567665841850055;1.16420361953776;-0.393561135043249;1.31457400551592;1.0243851790813;0.711420638835831;0.615084632120317
2/02/2023;I2SB;DAXSUBSEC.IT-SERV. PR;DE0007238172;SHF;SNP SCHNEID.-NEUREIT.O.N.;DE0007203705;n/a;Prime Standard;XETRA;1803.44;;;;2832.4401828;9.9525304;6650.69;15;0.0527163729547671;0.203962828455458;-0.238556862082797;0.213114313005341;0.283974789062511;0.340850827044129;2.34940900609659;-0.676560532832808;28.6;2;1125000;7385780;0.6147;1;109.19;1.6418;29.0676712468802;682.642229506751;1.23110430238165;3;0.00881834215167543;0.0592592592592593;-0.238551650692226;0.0592592592592593;0.543303559571085;0.475799001210684;0.349895346322911;-0.484660721475086;-0.00655783042294479;0.26500571823866;-0.00342765748218847;0.189843648270026
2/02/2023;I2SB;DAXSUBSEC.IT-SERV. PR;DE0007238172;SYT;SOFTING AG O.N.;DE0005178008;n/a;Prime Standard;XETRA;1803.44;;;;2832.4401828;9.9525304;6650.69;15;0.0527163729547671;0.203962828455458;-0.238556862082797;0.213114313005341;0.283974789062511;0.340850827044129;2.34940900609659;-0.676560532832808;5.88;16.25;5000000;9105381;0.6065;1;28.94;0.4351;35.3573402195795;830.352502335838;1.49749091681254;5;0;0.0970149253731343;-0.120736807091397;0.113636363636364;0.337605923585197;0.357560848652513;0.931784989942306;-0.320580998232857;0.559705820404829;0.290515443054125;0.470792516312027;0.27693867884938
2/02/2023;I2SB;DAXSUBSEC.IT-SERV. PR;DE0007238172;S9I;STEMMER IMAGING AG INH ON;DE000A2G9MZ9;n/a;Prime Standard;XETRA;1803.44;;;;2832.4401828;9.9525304;6650.69;15;0.0527163729547671;0.203962828455458;-0.238556862082797;0.213114313005341;0.283974789062511;0.340850827044129;2.34940900609659;-0.676560532832808;37.7;36;6500000;6500000;0.25;1;51.03;0.7672;10.4040881873304;244.33570532233;0.440644784406502;4;0.0161725067385445;0.16358024691358;0.0345987658704809;0.178125;0.321197606040326;0.462832176550182;1.66263847617425;0.0827105232942764;0.247368359582881;0.3931045341737;0.218701436163471;0.289500195484734
